No;Jenis Rambu;N;E;Kelurahan;Kecamatan;Kabupaten ;Tahun;Foto
160;Peringatan Longsor;-7.74776;111.8053;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0160.png
161;Peringatan Longsor;-7.71144;111.83204;Dlopo;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0161.png
162;Jalur Evakuasi;-7.65914;111.92021;Banaran;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0162.png
163;Peringatan Banjir;-7.61041;111.88089;Sekarputih;Bagor;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0163.png
164;Titik Kumpul;-7.62418;111.86428;Bringkil;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0164.png
165;Jalur Evakuasi;-7.62454;111.86219;Bringkil;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0165.png
166;Jalur Evakuasi;-7.70269;111.79729;Petung Ulung;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0166.png
167;Peringatan Longsor;-7.75988;111.85732;Bajulan;Loceret;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0167.png
168;Peringatan Longsor;-7.75836;111.85864;Bajulan;Loceret;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0168.png
169;Peringatan Longsor;-7.75762;111.83663;Klodan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0169.png
170;Peringatan Longsor;-7.74671;111.82809;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0170.png
171;Jalur Evakuasi;-7.74559;111.8311;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0171.png
172;Jalur Evakuasi;-7.74363;111.82825;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0172.png
173;Peringatan Longsor;-7.72276;111.76495;Sidorejo;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0173.png
174;Peringatan Longsor;-7.73647;111.76582;Bulurejo;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0174.png
175;Peringatan Longsor;-7.70273;111.7972;Margoput;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0175.png
176;Titik Kumpul;-7.70141;111.79659;Margoput;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0176.png
177;Peringatan Banjir;-7.63067;111.86836;Tiripan;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0177.png
178;Peringatan Banjir;-7.5269;111.90152;Rejoso;Rejoso;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0178.png
179;Peringatan Banjir;-7.60744;111.90398;Payaman;Nganjuk;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0179.png
180;Peringatan Banjir;-7.65951;111.91922;Banaran;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0180.png
181;Jalur Evakuasi;-7.74686;111.80539;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0181.png
182;Titik Kumpul;-7.71984;111.82723;Kepel;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0182.png
183;Peringatan Banjir;-7.69831;111.92487;Johopare;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0183.png
184;Peringatan Banjir;-7.70247;111.92673;Johopare;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0184.png
185;Titik Kumpul;-7.61714;111.86617;Grojogan;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0185.png
186;Jalur Evakuasi;-7.73396;111.78889;Sembung;Ngronggot;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0186.png
187;Jalur Evakuasi;-7.70147;111.79825;Petung Ulung;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0187.png
188;Peringatan Longsor;-7.75526;111.83449;Klodan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0188.png
189;Peringatan Longsor;-7.74817;111.82956;Klodan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0189.png
190;Titik Kumpul;-7.73848;111.83314;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0190.png
191;Peringatan Longsor;-7.74006;111.8325;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0191.png
192;Peringatan Longsor;-7.72414;111.83369;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0192.png
193;Jalur Evakuasi;-7.76107;111.82037;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0193.png
194;Peringatan Longsor;-7.69617;111.79745;Siwalan;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0194.png
195;Peringatan Longsor;-7.72176;111.77204;Sidorejo;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0195.png
196;Titik Kumpul;-7.72981;111.77022;Sawahan;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0196.png
197;Peringatan Longsor;-7.7017;111.79902;Margoput;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0197.png
198;Peringatan Banjir;-7.61859;111.8658;Grojogan;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0198.png
199;Peringatan Banjir;-7.53471;111.90138;Klagen;Rejoso;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0199.png
200;Peringatan Banjir;-7.65538;111.92474;Banaran;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0200.png
201;Peringatan Longsor;-7.70658;111.83626;Badong;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0201.png
202;Peringatan Longsor;-7.74686;111.80539;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0202.png
203;Jalur Evakuasi;-7.7454;111.80603;Kepel;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0203.png
204;Peringatan Banjir;-7.68812;111.93218;Sanan Kulon;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0204.png
205;Titik Kumpul;-7.62466;111.86935;Sono Patik;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0205.png
206;Titik Kumpul;-7.61764;111.87208;Sono Patik;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0206.png
207;Jalur Evakuasi;-7.56754;111.80674;Sembung;Ngronggot;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0207.png
208;Jalur Evakuasi;-7.70049;111.79519;Petung Ulung;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0208.png
209;Titik Kumpul;-7.74547;111.83104;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0209.png
210;Titik Kumpul;-7.7499;111.83396;Klodan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0210.png
211;Peringatan Longsor;-7.74458;111.8299;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0211.png
212;Titik Kumpul;-7.7012;111.84173;Selopuro;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0212.png
213;Jalur Evakuasi;-7.70643;111.83907;Ngetos;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0213.png
214;Jalur Evakuasi;-7.74522;111.83037;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0214.png
215;Peringatan Longsor;-7.73859;111.76457;Sempu;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0215.png
216;Peringatan Longsor;-7.71163;111.77225;Duren;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0216.png
217;Titik Kumpul;-7.67104;111.83736;Maguan;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0217.png
218;Peringatan Banjir;-7.62716;111.86548;Sono Patik;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0218.png
219;Peringatan Banjir;-7.6287;111.85959;Bringkil;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0219.png
220;Peringatan Banjir;-7.66279;111.95723;Gemenggeng;Rejoso;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0220.png
221;Peringatan Banjir;-7.6001;111.89744;Kauman;Nganjuk;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0221.png
222;Titik Kumpul;-7.74187;111.80612;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0222.png
223;Jalur Evakuasi;-7.74389;111.80585;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0223.png
224;Peringatan Longsor;-7.72115;111.82607;Kepel;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0224.png
225;Peringatan Banjir;-7.69091;111.93898;Sanan Kulon;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0225.png
226;Peringatan Banjir;-7.60371;111.88275;Sekarputih;Bagor;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0226.png
227;Titik Kumpul;-7.63299;111.86943;Tiripan;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0227.png
228;Peringatan Longsor;-7.74192;111.765115;Sembung;Ngronggot;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0228.png
229;Peringatan Longsor;-7.74075;111.79312;Sembung;Ngronggot;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0229.png
230;Titik Kumpul;-7.70293;111.84139;Selopuro;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0230.png
231;Peringatan Longsor;-7.74827;111.83331;Klodan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0231.png
232;Peringatan Longsor;-7.76112;111.81871;Klodan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0232.png
233;Jalur Evakuasi;-7.70406;111.8411;Selopuro;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0233.png
234;Peringatan Longsor;-7.70649;111.83845;Ngetos;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0234.png
235;Jalur Evakuasi;-7.74;111.83277;Blongko;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0235.png
236;Peringatan Longsor;-7.72809;111.77303;Sedudo;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0236.png
237;Peringatan Longsor;-7.69943;111.79598;Sidorejo;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0237.png
238;Peringatan Banjir;-7.67517;111.83161;Maguan;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0238.png
239;Peringatan Banjir;-7.61754;111.86931;Sono Patik;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0239.png
240;Peringatan Banjir;-7.64126;111.86256;Sendang Bumen;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0240.png
241;Peringatan Banjir;-7.5202;111.90507;Banjarejo;Rejoso;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0241.png
242;Titik Kumpul;-7.65465;111.92197;Banaran;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0242.png
243;Titik Kumpul;-7.74118;111.80642;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0243.png
244;Peringatan Longsor;-7.74548;111.80592;Burikan;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0244.png
245;Titik Kumpul;-7.71476;111.82989;Kepel;Ngetos;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0245.png
246;Jalur Evakuasi;-7.6551;111.92482;Kecubung;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0246.png
247;Titik Kumpul;-7.66187;111.94318;Gemenggeng;Pace;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0247.png
248;Titik Kumpul;-7.64501;111.86414;Sendang Bumen;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0248.png
249;Jalur Evakuasi;-7.62515;111.86372;Bringkil;Berbek;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0249.png
250;Jalur Evakuasi;-7.70215;111.79793;Petung Ulung;Sawahan;Nganjuk;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0250.png
251;Jalur Evakuasi;-7.73129;111.30036;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0251.png
252;Jalur Evakuasi;-7.73451;111.29909;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0252.png
253;Titik Kumpul;-7.72982;111.29038;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0253.png
254;Jalur Evakuasi;-7.52809;111.50257;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0254.png
255;Jalur Evakuasi;-7.52661;111.50331;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0255.png
256;Jalur Evakuasi;-7.52103;111.50519;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0256.png
257;Jalur Evakuasi;-7.74918;111.45173;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0257.png
258;Jalur Evakuasi;-7.74745;111.4518;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0258.png
259;Titik Kumpul;-7.52536;111.48668;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0259.png
260;Jalur Evakuasi;-7.51948;111.48855;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0260.png
261;Peringatan Banjir;-7.5247;111.48692;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0261.png
262;Jalur Evakuasi;-7.73486;111.30106;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0262.png
263;Jalur Evakuasi;-7.7326;111.29467;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0263.png
264;Jalur Evakuasi;-7.7328;111.29859;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0264.png
265;Jalur Evakuasi;-7.52285;111.5041;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0265.png
266;Jalur Evakuasi;-7.5239;111.50473;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0266.png
267;Peringatan Banjir;-7.52733;111.50069;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0267.png
268;Peringatan Banjir;-7.74951;111.45166;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0268.png
269;Jalur Evakuasi;-7.74553;111.45183;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0269.png
270;Jalur Evakuasi;-7.52488;111.48688;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0270.png
271;Jalur Evakuasi;-7.52038;111.48931;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0271.png
272;Jalur Evakuasi;-7.52594;111.48652;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0272.png
273;Jalur Evakuasi;-7.73468;111.28684;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0273.png
274;Jalur Evakuasi;-7.7352;111.28069;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0274.png
275;Peringatan Longsor;-7.72982;111.30248;Ngaglik;Parang;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0275.png
276;Jalur Evakuasi;-7.52143;111.50623;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0276.png
277;Jalur Evakuasi;-7.52233;111.50582;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0277.png
278;Jalur Evakuasi;-7.74672;111.45177;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0278.png
279;Jalur Evakuasi;-7.74662;111.45175;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0279.png
280;Jalur Evakuasi;-7.74422;111.45388;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0280.png
281;Jalur Evakuasi;-7.52263;111.48769;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0281.png
282;Jalur Evakuasi;-7.52007;111.48848;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0282.png
283;Jalur Evakuasi;-7.523;111.48902;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0283.png
284;Jalur Evakuasi;-7.7344;111.28035;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0284.png
285;Jalur Evakuasi;-7.73601;111.28385;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0285.png
286;Jalur Evakuasi;-7.52159;111.48803;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0286.png
287;Jalur Evakuasi;-7.52182;111.50455;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0287.png
288;Jalur Evakuasi;-7.52308;111.50528;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0288.png
289;Titik Kumpul;-7.74997;111.45168;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0289.png
290;Jalur Evakuasi;-7.75057;111.45168;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0290.png
291;Jalur Evakuasi;-7.74525;111.45383;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0291.png
292;Jalur Evakuasi;-7.52113;111.48822;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0292.png
293;Jalur Evakuasi;-7.52026;111.4885;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0293.png
294;Jalur Evakuasi;-7.52194;111.48927;Jajar;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0294.png
295;Jalur Evakuasi;-7.73512;111.28262;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0295.png
296;Jalur Evakuasi;-7.73573;111.28494;Cileng;Poncol;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0296.png
297;Jalur Evakuasi;-7.74694;111.4536;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0297.png
298;Jalur Evakuasi;-7.52353;111.50383;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0298.png
299;Titik Kumpul;-7.52683;111.49926;Ngelang;Kartoharjo;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0299.png
300;Jalur Evakuasi;-7.74145;111.45187;Kedungpanji;Lembeyan;Magetan;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0300.png
301;Peringatan Longsor;-7.92651;112.60388;Tlogomas;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0301.png
302;Peringatan Longsor;-7.92283;112.59677;Tlogomas;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0302.png
303;Peringatan Longsor;-7.92432;112.60139;Tlogomas;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0303.png
304;Peringatan Longsor;-7.94645;112.61357;Dinoyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0304.png
305;Peringatan Longsor;-7.93973;112.61183;Dinoyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0305.png
306;Peringatan Longsor;-7.94098;112.61199;Dinoyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0306.png
307;Peringatan Longsor;-7.94374;112.61231;Dinoyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0307.png
308;Peringatan Longsor;-7.93656;112.60926;Dinoyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0308.png
309;Peringatan Longsor;-7.93797;112.61061;Dinoyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0309.png
310;Peringatan Longsor;-7.93861;112.61199;Jatimulyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0310.png
311;Peringatan Longsor;-7.93538;112.60937;Jatimulyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0311.png
312;Peringatan Longsor;-7.94442;112.61443;Jatimulyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0312.png
313;Peringatan Longsor;-7.94398;112.6141;Jatimulyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0313.png
314;Peringatan Longsor;-7.94362;112.61287;Jatimulyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0314.png
315;Peringatan Longsor;-7.95549;112.62462;Jatimulyo;Lowokwaru;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0315.png
316;Peringatan Longsor;-7.95792;112.62422;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0316.png
317;Peringatan Longsor;-7.95204;112.61905;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0317.png
318;Peringatan Longsor;-7.95163;112.61863;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0318.png
319;Peringatan Longsor;-7.9532;112.62042;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0319.png
320;Peringatan Longsor;-7.95368;112.621;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0320.png
321;Peringatan Longsor;-7.9542;112.6211;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0321.png
322;Peringatan Longsor;-7.95576;112.62319;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0322.png
323;Peringatan Longsor;-7.95624;112.62404;Penanggungan;Klojen;Kota Malang;2020;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0323.png
